,Heroes,(<2K MMR) PickRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%),Heroes.1,(>2K MMR) KDA Ratio,(>2K MMR) Avg Match,(2K-3K MMR) KDA Ratio,(2K-3K) Avg Match,(3K-4K MMR) KDA Ratio,(3K-4K MMR) Avg Match,(4K-5K MMR) KDA Ratio,(4K-5K MMR) Avg Match,(<5K MMR) KDA Ratio,(<5K MMR) Avg Match
16,Storm Spirit,5.61%,5.48%,45.37%,5.45%,45.84%,5.27%,46.69%,5.17%,47.76%,Storm Spirit,3.04,42:01,3.26,41:31,3.34,40:44,3.36,39:34,3.39,37:31
17,Sven,6.54%,5.72%,45.07%,5.61%,45.63%,5.51%,45.83%,6.08%,45.97%,Sven,2.56,41:31,2.92,41:12,3.15,40:31,3.29,39:24,3.44,36:56
18,Tiny,3.47%,3.15%,43.02%,3.08%,43.27%,3.09%,43.76%,3.26%,45.74%,Tiny,2.48,41:27,2.64,41:06,2.69,40:14,2.72,39:20,2.71,36:48
19,Vengeful Spirit,8.78%,10.98%,51.25%,12.68%,51.17%,14.02%,50.66%,17.14%,50.14%,Vengeful Spirit,2.19,41:00,2.16,40:37,2.12,39:53,2.09,38:50,2.04,36:25
20,Windranger,8.83%,7.82%,46.78%,7.18%,47.14%,6.52%,48.06%,5.59%,47.62%,Windranger,2.88,42:29,2.95,41:57,3.01,41:05,3.07,40:00,3.04,37:37
21,Zeus,10.88%,11.32%,53.53%,11.24%,53.18%,10.96%,52.16%,10.12%,52.41%,Zeus,4.01,42:54,4.45,42:35,4.6,41:56,4.62,40:56,4.55,38:37
22,Kunkka,9.80%,13.46%,55.70%,16.51%,55.93%,18.60%,55.86%,20.84%,55.24%,Kunkka,3.25,42:34,3.56,42:01,3.63,41:16,3.66,40:17,3.68,37:52
23,Lina,12.12%,12.65%,47.75%,14.06%,48.37%,14.86%,48.57%,14.29%,48.23%,Lina,2.49,42:08,2.79,41:58,2.92,41:23,3.01,40:27,3.03,38:11
24,Lion,19.47%,15.92%,45.14%,12.34%,45.13%,9.74%,45.56%,6.82%,46.80%,Lion,2.0,41:53,2.01,41:29,2.03,40:40,2.05,39:40,2.02,37:36
25,Shadow Shaman,14.78%,10.82%,51.80%,8.31%,52.31%,6.91%,51.55%,5.26%,52.57%,Shadow Shaman,2.03,41:30,2.01,41:04,2.03,40:11,2.01,39:10,1.98,36:57
26,Slardar,10.38%,9.25%,54.63%,8.91%,54.99%,8.61%,55.11%,7.51%,53.98%,Slardar,2.67,41:17,2.8,40:45,2.91,39:54,2.98,38:53,2.99,36:50
27,Tidehunter,5.10%,5.86%,47.26%,5.81%,46.29%,5.64%,46.10%,5.66%,46.73%,Tidehunter,2.82,41:35,2.96,41:11,2.99,40:30,3.0,39:17,2.98,37:07
28,Witch Doctor,25.51%,25.19%,55.70%,23.51%,54.29%,21.22%,53.12%,15.16%,52.06%,Witch Doctor,2.36,42:17,2.29,41:49,2.23,41:04,2.19,40:04,2.13,38:05
29,Lich,8.95%,9.55%,52.44%,9.74%,51.52%,9.49%,50.63%,7.51%,49.46%,Lich,2.47,42:15,2.49,41:52,2.45,41:11,2.41,40:07,2.31,38:08
30,Riki,8.30%,5.90%,52.81%,4.82%,51.94%,4.03%,51.83%,3.21%,49.96%,Riki,3.41,42:14,3.5,41:56,3.48,41:15,3.42,40:16,3.29,38:02
31,Enigma,4.07%,2.70%,46.88%,2.01%,46.64%,1.52%,47.45%,1.44%,49.58%,Enigma,2.03,42:07,2.16,41:38,2.22,40:56,2.26,39:39,2.29,37:20
32,Tinker,7.65%,6.64%,51.35%,6.32%,52.30%,6.41%,52.76%,6.18%,52.99%,Tinker,3.49,42:16,3.62,41:46,3.63,40:58,3.62,39:55,3.51,37:54
33,Sniper,19.34%,15.97%,49.77%,11.61%,49.23%,7.83%,47.56%,3.85%,48.02%,Sniper,3.13,42:31,3.29,42:13,3.34,41:33,3.29,40:38,3.23,38:14
34,Necrophos,15.78%,16.92%,54.85%,17.66%,53.75%,17.89%,52.91%,16.57%,50.86%,Necrophos,3.19,41:17,3.23,40:53,3.24,40:09,3.21,39:10,3.13,37:08
35,Warlock,8.82%,12.04%,53.53%,13.32%,52.28%,13.66%,50.65%,12.28%,48.32%,Warlock,2.98,41:47,3.03,41:27,2.94,40:47,2.84,39:47,2.69,37:42
36,Beastmaster,1.11%,1.06%,42.67%,0.98%,42.57%,1.03%,44.48%,1.48%,47.81%,Beastmaster,2.2,40:20,2.27,39:33,2.34,38:34,2.42,37:32,2.61,34:47
37,Queen of Pain,5.64%,7.05%,48.51%,7.86%,48.94%,8.29%,49.80%,8.39%,49.40%,Queen of Pain,3.16,42:15,3.49,41:56,3.68,41:16,3.79,40:13,3.85,37:55
38,Venomancer,6.73%,6.91%,51.86%,6.34%,52.17%,5.96%,51.84%,5.50%,51.32%,Venomancer,2.47,42:17,2.53,41:53,2.55,41:04,2.55,39:58,2.52,37:43
39,Faceless Void,12.41%,11.47%,47.87%,10.87%,48.99%,10.75%,49.65%,11.57%,50.94%,Faceless Void,3.08,42:28,3.44,42:06,3.65,41:20,3.83,40:21,4.06,38:00
40,Wraith King,14.24%,16.08%,56.40%,16.93%,55.24%,17.26%,53.56%,16.87%,51.08%,Wraith King,3.54,41:01,3.75,40:42,3.75,40:02,3.66,39:00,3.52,36:48
41,Death Prophet,2.57%,2.12%,47.75%,1.89%,48.22%,1.88%,48.16%,1.95%,48.62%,Death Prophet,2.7,41:27,2.94,41:04,3.05,40:16,3.06,39:11,3.11,37:03
42,Phantom Assassin,21.64%,19.83%,46.88%,18.21%,45.60%,16.47%,45.02%,12.94%,43.95%,Phantom Assassin,2.69,41:10,2.93,40:47,3.02,40:03,3.08,38:59,3.1,36:51
43,Pugna,7.63%,7.62%,49.42%,8.27%,50.53%,9.24%,50.86%,12.43%,51.49%,Pugna,2.48,41:21,2.69,41:04,2.75,40:20,2.73,39:23,2.61,36:51
44,Templar Assassin,7.36%,6.51%,45.87%,6.95%,47.30%,7.89%,48.33%,10.24%,49.62%,Templar Assassin,2.89,40:55,3.27,40:29,3.47,39:44,3.58,38:45,3.74,36:19
45,Viper,7.43%,5.61%,50.63%,4.46%,51.08%,3.87%,51.00%,3.16%,50.83%,Viper,2.7,42:43,2.82,42:19,2.84,41:27,2.79,40:21,2.69,38:05
46,Luna,7.39%,9.48%,50.37%,11.60%,50.14%,13.68%,49.94%,16.16%,49.68%,Luna,2.71,40:19,2.98,39:52,3.06,39:08,3.1,38:04,3.13,35:54
47,Dragon Knight,3.36%,2.74%,46.53%,2.22%,46.49%,1.76%,45.69%,1.31%,44.43%,Dragon Knight,2.61,41:36,2.72,40:56,2.79,40:11,2.84,38:59,2.82,37:12
48,Dazzle,14.21%,15.59%,49.97%,15.78%,50.02%,15.17%,50.59%,13.15%,50.27%,Dazzle,2.22,40:51,2.25,40:35,2.3,40:00,2.37,39:04,2.43,37:04
49,Clockwerk,3.21%,3.88%,46.85%,4.12%,46.99%,4.23%,46.43%,4.01%,47.76%,Clockwerk,2.56,42:15,2.56,41:41,2.52,40:59,2.43,39:54,2.42,37:41
50,Leshrac,1.61%,1.47%,45.51%,1.33%,46.66%,1.34%,47.90%,1.42%,47.54%,Leshrac,2.16,41:32,2.29,41:13,2.4,40:17,2.6,39:17,2.71,36:32
51,Nature's Prophet,19.77%,20.16%,49.09%,20.39%,49.87%,21.02%,50.33%,24.47%,50.27%,Nature's Prophet,2.41,41:24,2.53,41:01,2.59,40:15,2.64,39:12,2.64,36:51
52,Lifestealer,9.04%,9.52%,50.88%,10.01%,51.38%,10.43%,51.84%,10.19%,50.63%,Lifestealer,2.98,40:53,3.47,40:31,3.7,39:51,3.82,38:58,3.95,36:50
53,Dark Seer,1.50%,1.57%,49.63%,1.69%,48.72%,1.82%,50.81%,1.91%,49.35%,Dark Seer,2.77,42:04,2.95,41:40,3.07,40:49,3.18,40:09,3.27,37:24
54,Clinkz,6.92%,5.29%,52.10%,5.12%,51.96%,5.48%,52.71%,5.47%,51.40%,Clinkz,2.78,41:22,2.77,40:41,2.69,39:48,2.67,38:45,2.6,36:34
55,Omniknight,3.30%,3.73%,49.37%,3.71%,49.74%,3.71%,49.19%,3.95%,50.58%,Omniknight,2.43,40:57,2.51,40:25,2.59,39:40,2.6,38:44,2.74,36:33
56,Enchantress,6.05%,5.24%,42.01%,5.02%,40.83%,4.82%,40.28%,5.22%,40.45%,Enchantress,2.39,41:43,2.27,41:10,2.19,40:17,2.15,39:10,2.16,37:00
57,Huskar,6.70%,4.53%,50.32%,4.31%,52.32%,4.56%,52.95%,6.25%,52.32%,Huskar,2.05,40:27,2.16,39:36,2.26,38:22,2.34,37:10,2.33,34:39
58,Night Stalker,3.69%,4.48%,51.17%,4.96%,51.82%,5.19%,51.22%,5.22%,50.95%,Night Stalker,2.95,41:11,3.26,40:45,3.4,40:00,3.45,39:06,3.46,36:53
59,Broodmother,1.12%,0.86%,47.07%,0.86%,49.61%,1.06%,50.48%,1.43%,51.21%,Broodmother,1.99,38:40,2.33,37:58,2.6,36:56,2.83,36:26,3.03,33:57
60,Bounty Hunter,8.02%,6.01%,49.96%,5.51%,50.60%,5.69%,51.90%,6.95%,52.04%,Bounty Hunter,2.68,41:18,2.72,40:38,2.73,39:47,2.74,38:31,2.66,36:00
61,Weaver,10.53%,10.46%,49.35%,11.34%,49.80%,12.45%,49.89%,15.19%,49.76%,Weaver,3.49,42:06,3.71,41:38,3.78,40:50,3.77,39:52,3.73,37:18
62,Jakiro,12.35%,14.58%,53.72%,14.31%,53.20%,13.16%,52.88%,9.80%,51.68%,Jakiro,2.43,42:00,2.45,41:34,2.43,40:52,2.42,39:51,2.35,37:54
